subject,unit_category,units,year_level,degree,trimester,curriculum,description
CC1,Lec/Lab,3,1st yr,BSIT,1st Trimester,2025-2026,Computing Fundamentals
CC2,Lec/Lab,3,1st yr,BSIT,1st Trimester,2025-2026,Introduction to Computer Programming
CC7,PureLec,3,1st yr,BSIT,1st Trimester,2025-2026,Human Computer Interaction
HIST100,PureLec,3,1st yr,BSIT,1st Trimester,2025-2026,Readings in Philippine History
MATH100,PureLec,3,1st yr,BSIT,1st Trimester,2025-2026,Mathematics in the Modern World
ENGL100,PureLec,3,1st yr,BSIT,1st Trimester,2025-2026,Purposive Communication
PATHFIT1,PureLec,2,1st yr,BSIT,1st Trimester,2025-2026,Movement Competency Training
NSTP1,PureLec,3,1st yr,BSIT,1st Trimester,2025-2026,National Service Training Program 1
CC1,Lec/Lab,3,1st yr,BSCS,1st Trimester,2025-2026,Computing Fundamentals
CC2,Lec/Lab,3,1st yr,BSCS,1st Trimester,2025-2026,Introduction to Computer Programming
CC7,PureLec,3,1st yr,BSCS,1st Trimester,2025-2026,Human Computer Interaction
HIST100,PureLec,3,1st yr,BSCS,1st Trimester,2025-2026,Readings in Philippine History
MATH100,PureLec,3,1st yr,BSCS,1st Trimester,2025-2026,Mathematics in the Modern World
ENGL100,PureLec,3,1st yr,BSCS,1st Trimester,2025-2026,Purposive Communication
PATHFIT1,PureLec,2,1st yr,BSCS,1st Trimester,2025-2026,Movement Competency Training
NSTP1,PureLec,3,1st yr,BSCS,1st Trimester,2025-2026,National Service Training Program 1
CC1,Lec/Lab,3,1st yr,BSDA,1st Trimester,2025-2026,Computing Fundamentals
CC2,Lec/Lab,3,1st yr,BSDA,1st Trimester,2025-2026,Introduction to Computer Fundamentals
CC7,PureLec,3,1st yr,BSDA,1st Trimester,2025-2026,Human Computer Interaction
HIST100,PureLec,3,1st yr,BSDA,1st Trimester,2025-2026,Readings in Philippine History
MATH100,PureLec,3,1st yr,BSDA,1st Trimester,2025-2026,Mathematics in the Modern World
ENGL100,PureLec,3,1st yr,BSDA,1st Trimester,2025-2026,Purposive Communication
PATHFIT1,PureLec,2,1st yr,BSDA,1st Trimester,2025-2026,Movement Competency Training
NSTP1,PureLec,3,1st yr,BSDA,1st Trimester,2025-2026,National Service Training Program 1
MCC1,PureLec,3,1st yr,BMMA,1st Trimester,2025-2026,Introduction to Multimedia Arts
MCC2,Lec/Lab,3,1st yr,BMMA,1st Trimester,2025-2026,Foundations of Drawing
